COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
N.V. Brabantse Ontwikkelings Maatschappij (BOM);100000000;10000000;10000000;Netherlands;Goirleseweg 15,P.O Box 3240;5003;Tilburg , Eindhoven;;31-13-531-1120;31-13-531-1121;bom@bom.nl;http://www.bom.nl/;Early Stage,Later Stage;Business Services,Financial Services,Industrial Services,Technology;Venture Capital Firm,Private Investor;;;;
NAFTA Fund of Mexico, LP;500000000;1000000;15000000;Mexico;Plaza Reforma, Prolongación Paseo de la Reforma 600-103	Col. Santa Fe Peña Blanca;1210;México, D.F.;;52-55-5259-6618;52-55-5259-3928;info@naftafund.com;http://www.naftafund.com/;Early Stage,Later Stage;Consumer Products,Consumer Services,Financial Services;Private Equity Firm;;Herán Sabau,Jaime Serra,Luis Alberto Aziz,Luis Morales,Pedro Noyola,Santiago Huerta;;info@naftafund.com
Najafi Companies, LLC;1000000000;1000000;10000000;United States of America;The Esplanade,2525 East Camelback Road, Suite 850;85016;Phoenix;Arizona;602-476-0600;602-476-0625;info@najafi.com;http://www.najafi.com/;Recapitalization;Consumer Products,Industrial Services,Internet,Leisure Products and Services,Real Estate, Construction &amp  Infrastructure,Telecommunication;Private Investor;;Daniel T. Shum, Partner,Mr.	Jahm		Najafi		(CEO),Peter A. Woog (Partner),Tina Rhodes, Chief Financial Officer;;info@najafi.com,jahm@najafi.com
Najeti Capital SCR;100000000;8000000;8000000;Spain;Plaza de la Fuente, 3 1ª planta	La Moraleja, Alcobendas;ES-28109;Madrid;;34-91-781-4960;34 91 435 40 76;contact.spain@najeti.com;http://spain.najeti.com/;Expansion;Financial Services,Technology;Private Equity Firm,Private Investor;in Euro;;;
Nalanda Capital Pte Ltd.;400000000;1000000;10000000;Singapore;65 Chulia Street,#37-03/04 OCBC Centre;49513;;;65-6826-9100;65-6826-9101;bek.soh@nalandacapital.com;http://www.nalandacapital.com/;Early Stage,Later Stage;Business Services,Consumer Services,Financial Services;Private Investor;;A.N. Seshadri , CEO,Anand Sridharan (Directo),Ashish Patil, Investment Banking/Merger,Gaurav Kothar, Analyst ,Mr.	Pulak		Prasad		(Managing Director and Founder	),Mukund Dhondge,Pulak Prasad;;bek.soh@nalandacapital.com,pulak.prasad@nalandacapital.com
Nancy Creek Capital;400000000;1000000;5000000;United States of America;3825 Paces Walk Suite 350;30339;Atlanta;Georgia;678-384-4520;678)-84-4521;info@nancycreek.com;http://www.nancycreekcapital.com/;Management Buyout,Mezzanine,Recapitalization;Real Estate, Construction &amp  Infrastructure;Private Equity Firm,Private Investor;;Barrington H. (Branch Principal),Charles B. Shelton, III,Mr.	Edgar	H.	Sims	Jr.	(Principal),O. Scott Barfield, Director,Owen M. Basham, Analyst,Steven T. Brannon ,Steven T. Brannon,  Director;,(678) 384-4527,(678) 384-4530;bbranch@nancycreek.com,cshelton@nancycreek.com,esims@nancycreek.com,obasham@nancycreek.com,sbarfield@nancycreek.com,sbrannon@nancycreek.com
NanoCapital, LLC;100000000;5000000;10000000;United States of America;105 North 31st Avenue,Suite 101;68131;Omaha;Nebraska;402-510-3000;402-344-2861;info@nanocapital.com;http://www.nanocapital.com/;Early Stage,Later Stage;Electronics,Healthcare,Manufacturing,Technology;Private Investor,Venture Capital Firm;;Mr. Rajan Pillai (Advisor),Mr. Rajan Pillai, Advisor,Mr. Tydd Rohrbough, Advisor,Mr.	Arun		Agarwal		(Managing Member),Ms. Anne Kavanaugh, Advisor;;arun@nanocapital.com
NanoDimension AG;100000000;8000000;8000000;Switzerland;Schoffelgasse 3;CH-8001;Zurich;;+1 650 241 1155; +1 650 529 1381;info@nanodimension.com;http://www.nanodimension.com/;Early Stage,Later Stage,Seed;Electronics,Energy & Natural Resources,Industrial Services,IT Services,Life Sciences,Technology;Venture Capital Firm;in Euro;;;
Nanostart AG-Frankfurt am Main;100000000;5000000;5000000;Germany;Goethestrasse 26-28;DE-60313;Frankfurt am Main;;49-69-2193-96-00;49-69-2193-96-150;info@coreo.de;http://www.nanostart.de/;Early Stage,Later Stage;Communication & Computer Networks,Environment,Healthcare,Technology,Transportation;Venture Capital Firm,Private Investor;;;;
Nanostart AG-Berlin;100000000;5000000;5000000;Germany;c/o Morton Towers GmbH Kurfürstendamm 45;DE-10707;Berlin;;49-30-88-7163-69-10;49-30-88-7163-69-99;info@coreo.de;http://www.nanostart.de/;Early Stage,Later Stage;Communication & Computer Networks,Environment,Healthcare,Technology,Transportation;Venture Capital Firm,Private Investor;
;;;
Nanostart Asia Pte Ltd.;100000000;1000000;5000000;Singapore;Level 42 Suntec Tower Three 8 Temasek Boulevard;038988;;;+65 (0) 6829 2194;;lerwen.liu@nanostart.de;http://www.nanostart.de/;Early Stage,Later Stage;Communication &amp  Computer Networks,Environment,Healthcare,Technology,Transportation;Venture Capital Firm;;Achim Lindner,,Dr. Alfred Krammer,Dr.	Lerwen		Liu		(Managing Director),Nanostart AG Hansjoerg Ruof,Nanostart Asia Pte Ltd,Nanostart Asia Pte Ltd Celine Tan – Analyst,Nanostart Asia Pte Ltd Dr. Lerwen Liu – Managing Director,Nanostart Asia Pte Ltd Sidra Sehar Ahmed,Professor Wolfgang M. Heckl,,Sidra Sehar Ahmed (Investment Associate);;lerwen.liu@nanostart.de
National City Equity Partners, LLC;1000000000;5000000;20000000;United States of America;1965 East Sixth Street Suite 1010;44114;Cleveland;Ohio;;;sharon.breznak@ncepi.com;http://www.ncepi.com/;Leveraged Buyout,Management Buyout,Recapitalization;Business Services,Consumer Services,Financial Services,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Technology;Private Equity Firm;;Carl E. Baldassarre (General Partner),Carli A. Jensen, Associate,David A. Sands,David M. McCoy,Jason R. Cornacchione, Senior Associate,Jay A. Freund,Mr.	Edward		Pentecost		(Managing General Partner),Nicholas B. Russo, Associate,Steve G. Pattison;;sharon.breznak@ncepi.com
Navigation Capital Partners;1400000000;;;United States of America;One Buckhead Plaza	3060 Peachtree Road, Suite 780;30305;Atlanta;Georgia;404-264-9180;;deals@navigationcapital.com;http://www.navigationcapital.com/;Leveraged Buyout,Management Buyout;Business Services,Distribution,Financial Services,Manufacturing;Private Equity Firm;;Craig Kirsch Operating Partner,Craig Kirsch, Operating Partner,David Panton Partner, Co-Founder,Eerik Giles,Lawrence Mock(Managing Partner, Co-Founder),Mr.	John		Richardson		(Managing Partner),O.G. Greene Operating Partner,Philip Ruppel , Analyst,Zuri Briscoe Vice President, Co-Founder;,404.504.4073,404.504.4081,412.327.9040;deals@navigationcapital.com,jrichardson@navigationcapital.com
Native American Capital, LP;;;;United States of America;8609 Second Avenue	Suite 506B;20910-3362;Silver Spring;Maryland;301-587-9003;301-587-0264;whillabrant@nativeamericancapital.com;http://www.nativeamericancapital.com/;Early Stage,Later Stage;Business Services,Cellular (applications, devices and infrastructure) ,Education,Energy &amp  Natural Resources,Environment,Financial Services,Healthcare,IT Services,Real Estate, Construction &amp  Infrastructure;Private Equity Firm,Venture Capital Firm;;Dr. Gavin Clarkson (Managing Director),Dr. Joseph L. Falkson, Senior Managing Director,Dr.	Walter	J.	Hillabrant		(Managing Director),Marco Rubin, Managing Director ;;whillabrant@nativeamericancapital.com
Navigator Equity Partners, LLC;360000000;2000000;15000000;United States of America;428 Springfield Ave,2nd Floor;7901;Summit;New Jersey;908-273-7733;908-273-5566;imhoffj@navigatorequity.com;http://www.navigatorequity.com/;Expansion,Later Stage,Recapitalization;Advertising &amp  Marketing,Business Services,Consumer Services,Financial Services,Healthcare,Industrial Products,Manufacturing;Private Equity Firm;;Bernard B. Markey (co-founder and Managing Partner),Mr.	W. Joseph		Imhoff		(Managing Partner);;imhoffj@navigatorequity.com
Natural Gas Partners;;;;United States of America;125 E. John Carpenter Fwy.	Suite 600;75062;Irving , Santa Fe , Stamford;Texas;972-432-1440;972-432-1441;inquiries@ngptrs.com;http://www.naturalgaspartners.com/;;;;;Christopher D. Ray,Craig S. Glick,David W. Hayes,Mr.	Kenneth	A.	Hersh		(Managing Partner),Richard L. Covington,Scott A. Gieselman,Tony R. Weber,William J. Quinn;;inquiries@ngptrs.com,khersh@ngptrs.com
Nauta Capital-Spain;100000000;6000000;6000000;Spain;Avda. Diagonal, 593. Planta 8;ES-08014;Barcelona;;34-93-503-5900;34-93-503-5901;barcelona@nautacapital.com;http://www.nautacapital.com/;Early Stage,Seed,Series B,Series A;Communication & Computer Networks,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Venture Capital Firm;;;;
Nauta Capital-USA;100000000;500000;6000000;United States of America;8 Faneuil Hall Market Plaza 3rd Floor;02109;Boston;Massachusetts;781 768 6137;781 530 3605;info@nautacapital.com;http://www.nautacapital.com/;Early Stage,Seed,Series A,Series B;Cellular (applications, devices and infrastructure) ,Communication &amp  Computer Networks,Internet,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Technology,Telecommunication;Venture Capital Firm;;Javier Rubio (General Partner),Mr.	Dominic		Endicott		(Partner);;dominic.endicott@nautacapital.com
Nautic Partners, LLC;2500000000;25000000;100000000;United States of America;50 Kennedy Plaza 12th Floor;2903;Providence;Rhode Island;401-278-6770;401-278-6387;bbuonanno@nautic.com;http://www.nautic.com/;Expansion,Later Stage;Business Services,Communication &amp  Computer Networks,Healthcare,Manufacturing;Private Equity Firm;;Bernie Buonanno,Chris Crosby (Managing Director),Chris Vinciguerra, Associate,Cynthia Balasco, CFO,Douglas Hill,Habib Gorgi,James LaRowe,Lori Chabot, Investor Relations Coordinator,Mr.	Bob		Van Degna		(Managing Director),Scott Hilinski;;bbuonanno@nautic.com,cbalasco@nautic.com,ccrosby@nautic.com,cvinciguerra@nautic.com,dhill@nautic.com,hgorgi@nautic.com,jlarowe@nautic.com,lchabot@nautic.com,rvandegna@nautic.com,shilinski@nautic.com
Neomed Management Ltd.-Oslo;125000000;5000000;5000000;Norway;Parkveien 55;NO-0256;Oslo;;+47 22 54 59 40;;prjensen@neomed.net;http://www.neomed.net/;Early Stage,Management Buyout;Healthcare,Life Sciences,Medical Devices,Medical Services;Venture Capital Firm;;;;
Neomed Management Ltd.-Geneve;125000000;5000000;5000000;Switzerland;7, Place du Molard;CH-1204;Geneve;;+41 22 566 78 02;;prjensen@neomed.net;http://www.neomed.net/;Early Stage,Later Stage;Healthcare,Industrial Services,Life Sciences,Medical Services;Venture Capital Firm;;;;
Neomed Management Ltd.-Boston;125000000;2500000;5000000;United States of America;111 Devonshire Street,Suite 730;2109;Boston;Massachusetts;+1 617 210 7974;;pskorpil@neomed.net;http://www.neomed.net/;Early Stage,Later Stage;Healthcare,Life Sciences,Medical Devices,Medical Services;Venture Capital Firm;;Carl Christian Gilhuus-Moe (Snr partner),Dina Chaya,Kara Meisch , Manager ,Line B. Westlund Office Manager (Oslo)  ,Margaret Taji ,Office Manager,Mr.	Peter		Skorpil		(Associate),Pål R Jensen,Paula Malzone , Office Manager,Peter Canham,Peter Flynn;;dina@neomed.net,kmeisch@neomed.net,line@neomed.net,margaret@neomed.net,pcanham@neomed.net,pflynn@neomed.net,pmalzone@neomed.net,prjensen@neomed.net,pskorpil@neomed.net
Neoplux Capital Co. Ltd.-Seoul;70000000;2000000;5000000;South Korea ;Doosan Tower 15th Floor	Euljiro-6ga, Joong-gu;100-730;Seoul;;82-2-3398-1070;82-2-3398-1071;prettyhsp@doosan.com;http://www.neoplux.com/;Early Stage,Expansion,Later Stage,Recapitalization,Series A,StartUp;Business Services,Consumer Products,Consumer Services,Diversified,Financial Services;Private Investor,Venture Capital Firm;;Choi moon bak,choi yong hae,Hong ji pyo,Kang seog won,kim kee hong,Kim yong cheol,Kim Yong Sung (B.O.D),Min Kyoung do,Mr.	Jong Gap		Lee		(CEO),Young chul park;;aeromin@neoplux.com ,bycro@neoplux.com ,hjp555@neoplux.com ,mattchoi@neoplux.com ,Moonbak.choi@neoplux.com ,prettyhsp@doosan.com,solip@neoplux.com ,sswkang@neoplux.com ,yongkim@neoplux.com 
Neoteny Co. Ltd.-Tokyo;16000000;500000;7000000;Japan;Plaza Mikado 3F	2-14-5 Akasaka, Minato-ku;107-0052;Tokyo;;81-3-5549-2270;81-3-5549-2271;jito@neoteny.com;http://www.neoteny.com/;Early Stage,Later Stage;Business Services,Consumer Services,Financial Services;Venture Capital Firm;;Daiji Hirata, Business Development Manager,Jun Makihara Chairman,Masato Ukaji, Chief Financial Officer,Mr.	Joichi		Ito		(President and CEO);;jito@neoteny.com
NESTA Investments-London;280000000;5000000;5000000;United Kingdom;1 Plough Place;EC4A 1DE;London;England;44-20-7438-2500;44-20-7438-2501;information@nesta.org.uk;http://www.nesta.org.uk/investments/;Early Stage,Later Stage,Seed,Expansion,StartUp;Business Services,Consumer Products,Consumer Services,Software,Technology;Venture Capital Firm;;;;
Netrove Asia Sdn. Bhd.-Petaling Jaya;130000000;500000;5000000;Malaysia;B-3A-07, Plaza Mont' Kiara No 2,Jalan Kiara,Mont' Kiara;50480; Kuala Lumpur;;;;kimseng@netrove.com;http://www.netrove.com/;Early Stage,Later Stage;Business Services,Consumer Services,Financial Services;Private Investor,Venture Capital Firm;;•FOO Yong Kwang,CHU Tzu Ming, Venture Partner ,ENG Ging Kiat, Venture Partner,Mr Anthony Fan,Mr Nicholas Norris,Mr Steven Shen,Mr Tay Wee Kwang,Mr.	Kim Seng		Teh		(Chairman),Tony CHEUNG, Venture Partner,Tony XU Partner, Head of China;;kimseng@netrove.com
Netus Pty Ltd.-Milsons Point;17000000;500000;5000000;Australia;Level 10, 52 Alfred Street;2061;Milsons Point;New South Wales;61-2-8912-5900;61-2-8912-5999;contact@netus.com.au;http://www.netus.com.au/;Early Stage,Later Stage,Series A,StartUp;Business Services,Communication &amp  Computer Networks,Consumer Products,Consumer Services,Internet,Software,Technology;Venture Capital Firm;;Alison Deans Alison Deans Executive Director Operations netus Executive Director, Operations,Craig Blair Craig Blair Executive Director netus Executive Director,Elspeth Prince, Office Partner,Guy Reypert , Investment Manager,Ian Torrance, Chief Financial Officer,Mr.	Daniel		Petre		(Executive Chairman),Therese Fritzson (Executive);;contact@netus.com.au
Netval Management Sdn. Bhd.;85000000;500000;7000000;Malaysia;802, Block E, Phileo Damansara 1	Jalan 16/11, off Jalan Damansara;46350;Petaling Jaya;;60-3-7665-2812;60-3-7665-2718;cdw@netvalvc.com;http://www.netvalvc.com/;Early Stage,Expansion,Later Stage,Management Buyout;Business Services,Consumer Services,Diversified,Financial Services;Venture Capital Firm;;Chang Tat (Vice President) ,Mr.	Kee Kian		Kuah		(CEO),Wooi yaik Seng, Assistant Manager;;cdw@netvalvc.com,kkk@netvalvc.com
Network Capital Inc.-Calgary;350000000;200000;20000000;Canada;Suite 201	1029-17th Avenue SW;T2T 0A9;Calgary;Alberta;403-303-4490;403-303-4491;david@networkcapital.com;http://www.networkcapital.com/;Early Stage,Management Buyout,Recapitalization,Restructuring;Energy &amp  Natural Resources,Real Estate, Construction &amp  Infrastructure;Private Equity Firm,Private Investor;;Brooke N. Wade, Advisory Board ,George W. Watson, Advisory Board ,Henry G. van der Sloot , Advisory Board ,Mr.	David	V.	Richards		(Managing Director),Paul E. Jones (Network Capital Inc.),Richard A.N. Bonnycastle,Timothy R. Tycholis;;david@networkcapital.com
Navigator Technology Ventures, LLC;150000000;500000;5000000;United States of America;One Broadway,Suite 1300;2142;Cambridge;Massachusetts;617-494-0111;617-497-1600;alain@ntven.com;http://www.ntven.com/;Early Stage,Expansion,Later Stage,Seed,Series A,StartUp;Biotechnology,Business Services,Electronics,Medical Devices,Software,Technology,Telecommunication;Venture Capital Firm;;Dr. Gordon Baty (Chairman),James Shields, President and CEO,Mr. Hanover ,Mr.	Alain		Hanover		(Managing Director and CEO);;alain@ntven.com,gordon@ntven.com
NAVITAS Capital-NetherLands;80000000;7000000;7000000;Netherlands;P.O. Box 371;2400-AJ ;Alphen aan den Rijn;;31 172 44 83 88;31 172 44 83 89;info@navitascapital.nl;http://www.navitascapital.nl/;Early Stage,Later Stage,Expansion;Business Products,Business Services,Consumer Services,Financial Services,Manufacturing;Private Equity Firm;;;;
Neuhaus Partners GmbH-Hamburg;230000000;10000000;10000000;Germany;Jungfernstieg 30;DE-20354;Hamburg;;49-40-355-282-0;49-40-355-282-39;info@neuhauspartners.com;http://www.neuhauspartners.com/;Early Stage,Later Stage,Expansion;Financial Services,IT Services,Software,Technology,Telecommunication;Venture Capital Firm;;;;
Navitas Capital-USA;140000000;1000000;7000000;United States of America;2920 Domingo Avenue,Suite 207	Suite 207;94705; Los Angeles;California;310-490-5626;;travis@navitascap.com;http://www.navitascap.com/;Early Stage,Expansion,Later Stage;Cleantech;Venture Capital Firm;;Brandon Tinianov CTO, Serious Materials Founding Chairman of USGBC, Silicon Valley Branch,Danny Rimer Managing Partner,Danny Rimer Managing Partner, Index Ventures,Dr. Malcolm Lewis, President,Goodwin Gaw, Founder and Managing Principal,Jim Pettit (co-founder and Managing Partner),Mr.	Travis		Putnam		(Managing Partner),Nellie Reid Director of Sustainable Design, Gensler Architects,Peter B. Cushman VP of Development, Bancroft Capital,Phil Williams VP Sustainability &amp  Systems Engineering, Webcor Builders;;Jim@navitascap.com,travis@navitascap.com
Naxicap Partners;740000000;25000000;25000000;France;5-7 rue de Monttessuy;FR-75340;Paris Cedex 07 , Lyon , Toulouse Cedex 6 , Strasbourg , Nantes;;33-1-5819-2220;33-1-5819-2230;contact_paris@naxicap.fr;http://www.naxicap.fr/;Management Buyout,Expansion,Leveraged Buyout,Restructuring;Business Services,Diversified,Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology;Venture Capital Firm,Private Investor;;;;
NeuroVentures Capital LLC-Charlottesville;15000000;100000;500000;United States of America;Zero Court Square;22902;Charlottesville;Virginia;434-297-1000;434-297-1001;info@neuroventures.com;http://www.neuroventures.com/;Early Stage,Expansion,Later Stage;Life Sciences,Medical Devices,Medical Services,Technology;Venture Capital Firm;;Donald L. Price, M.D.,Eugene V. Fife, Founding Principal,Frank A. Bonsal, Jr., Founding Partner,John W. Glynn, Jr., Founder, Managing General Partner, Glynn Ventures, Inc,Justin A. Zivin, M.D., Ph.D.,Mark A. Cochran, Ph.D., (Founding Partner),Mr.	Daniel	J.	O'Connell		(Managing Partner),Philip Goelet, Managing Member,Truman T. Semans, Vice Chairman,William C. Mobley, M.D., Ph.D;;djo@neuroventures.com,mac@neuroventures.com
Naxos Capital Partners;360000000;25000000;25000000;France;32 Rue du General Beuret;FR-75015;Paris;;33-618231227;;info@naxoscapital.com;http://www.naxoscapital.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Business Services,Computer Services,Diversified,Communication & Computer Networks,Consumer Products,Consumer Services,Industrial Services,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology;Private Equity Firm;;;;
NBC Capital Pty Ltd.;260000000;5000000;25000000;Australia;Level 2, Sony Centre 106 Edward Street;4000;Brisbane;Queensland;61-7-3233-9200;+61 7 3233 9223;info@nbccapital.com.au;http://www.nbccapital.com.au/;Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout;Business Services,Financial Services,Food &amp  Ingredients,Healthcare,IT Services,Manufacturing,Retail and wholesale;Private Equity Firm;;Bernard Stapleton (General Partner),Mr.	Bruce		Scott		(Managing Director and CIO),Peter Lawson – General Partner,Shane Lawrence – General Partner;;bruce@nbccapital.com.au,info@nbccapital.com.au
Nevada Ventures, LP-Reno;21000000;200000;1000000;United States of America;661 Sierra Rose Drive;89511;Reno;Nevada;775-954-2020;775-954-2023;rsmith@nevadaventures.com;http://www.nevadaventures.com/;Early Stage;Consumer Products,Consumer Services,Diversified,Financial Services,Medical Services,Software,Technology;Venture Capital Firm;;Chris Howard (founder/ partner),Lawrence Lieberman , Advisor,Mr.	Robb		Smith		(General Partner),Nicholas A. Cummings , Advisor,Stuart Feigin , Advisor;;rsmith@nevadaventures.com
Bio Advance Suburban;16000000;100000;2000000;United States of America;259 North Radnor-Chester Road, Suite 220;19087;Radnor , Philadelphia;Pennsylvania;610-230-0544 ;610-230-0646;shejazi@bioadvance.com;http://www.bioadvance.com;Seed;Life Sciences,Medical Devices;Private Equity Firm;;Ellen Semple, M.B.A.,Ellen Semple, M.B.A., Director, Marketing and Communications,Hal Broderson, M.D., Investment Consultant,Jeff D. Edelson, M.D., FRCPC, MHSc,Jennifer D. Smith,Marie Lindner,Marnie McCoy,Marnie McCoy, Program Director,Robert P. Driscoll, Director of Finance,Shahram Hejazi;;,esemple@bioadvance.com,hbroderson@bioadvance.com,jsmith@bioadvance.com,mlindner@bioadvance.com,mmccoy@bioadvance.com,shejazi@bioadvance.com
NBK Capital Private Equity-Kuwait;125000000;7000000;14000000;Kuwait;P.O. Box 4950;13050;Safat;;+965 2224 69 01;+965 2224 69 04/5;KIOFund@nbkcapital.com;http://www.nbkcapital.com/;Early Stage,Expansion,Later Stage,Mezzanine;Business Services,Education,Environment,Financial Services,Healthcare,Industrial Services,Technology;Private Equity Firm;;        Anand Hariharan  Chief Financial Officer,     	  Nabil Maroof  (Managing Director),Ahmet Tataroglu,Amjad Ahmad,Mr.	Faisal		Al-Hamad		Director, Alternative Investments (Private Equity),Omar AlYawer,  Assistant Vice President,Samer Khalidi,Souhair Khalil,  Vice President,Tarek Hassanein,Walid Cherif;;KIOFund@nbkcapital.com
NBK Capital Private Equity-UAE;125000000;7000000;14000000;United arab emirates;P.O. Box 506506;;Dubai;;971-4-365-2800;971-4-365-2805;ai@nbkcapital.com;http://www.nbkcapital.com/;Early Stage,Expansion,Later Stage,Mezzanine;Business Services,Education,Environment,Financial Services,Healthcare,Industrial Services,Technology;Private Equity Firm;;Anand Hariharan  Chief Financial Officer,Kamal Deeb,  Assistant Vice President,Mr.	Amjad		Ahmad 	(Senior Managing Director Alternative Investments,Nabil Maroof,Omar AlYawer,  Assistant Vice President,Omar Bassal, CFA,Salah Al-Fulaij  (Chief Executive Officer),Samer Khalidi,Souhair Khalil,Tarek Hassanein;;ai@nbkcapital.com
NEVEQ Capital Partners Ltd.-Sofia;70000000;5000000;5000000;Bulgaria;No. 23, Kustendil str.;BG-1680;Sofia;;+ 359.2.958.7665;+ 359.2.958.7666;OFFICE@NEVEQ.COM;http://www.neveq.com/;Early Stage,Later Stage,Expansion;Communication & Computer Networks,Industrial Services,Internet,IT Services,Software,Technology,Telecommunication;Private Equity Firm;;;;
North Bridge Venture Partners West Coast;2000000000;750000;15000000;United States of America;2755 Campus Drive, Suite 165;94404;San Mateo ;California;(650) 357-0004;(650) 357-0017;businessplans@nbvp.com;http://nbvp.northbridge.com/Default.asp;Early Stage;Communication &amp  Computer Networks,Internet,Software,Technology,Telecommunication;Venture Capital Firm;;Basil R. Horangic,Cali X. Tran,Dayna B. Grayson , Principal,Edward T. Anderson , Managing General Partner,James A. Goldstein , Venture Partner,Jeffrey P. McCarthy,Kenneth J. DiPoto , finance and accounting,Larry I. Kramer,Richard A. D’Amore,William J. Geary  , Venture Partner;;businessplans@nbvp.com
NCIC Capital Fund;80000000;200000;1000000;United States of America;900 Kettering Tower;45423;Dayton;Ohio;937-222-4422;937-222-1323;fwinslow@ncicfund.com;http://www.ncicfund.com/;Early Stage,Leveraged Buyout,Series A,StartUp;Communication &amp  Computer Networks,Consumer Services,Financial Services,Healthcare,Internet,Manufacturing,Medical Devices,Medical Services,Software,Technology;;;Mr.	Frank		Winslow		President and Executive Director;;fwinslow@ncicfund.com
NCT Ventures;270000000;1000000;12000000;United States of America;PO Box 2790;43086-2790;Westerville	Ohio , Columbus;Ohio;614-794-2732;614-794-2738;rich.langdale@nctventures.com;http://www.nctventures.com/;Early Stage,Seed;Business Services,Communication &amp  Computer Networks,Computer Hardware,Computer Services,Consumer Services,Financial Services,Internet,Software,Technology;Venture Capital Firm;;Bill Frank (Partner),David Fischer – President,,Ira Sharfin – President and CEO,Mr.	Rich		Langdale		(CEO),Prich.langdale@nctventures.com;;rich.langdale@nctventures.com
New Africa Mining Fund-Bryanston;64000000;1000000;10000000;South africa;37 Peter Place,Lyme Park;2021;Bryanston;;+27 11 706 1442;27-11-706-1593;neilg@decorumsa.co.za;;Early Stage,Expansion,Later Stage,Management Buyout;Energy &amp  Natural Resources;Venture Capital Firm;;John Taylor, Manager,Mark Sewell  ( Financial Manager),Mr.	Neil		Gardyne		(CEO),Wayne Botha, Accountant ;;neilg@decorumsa.co.za
NDC Capital Partners LLC;;;;United States of America;400 Park Avenue,Suite 810;10022;New York;New York;212-867-4520;212-867-4525;info@ndccp.com;http://www.ndccp.com/;Early Stage,Later Stage;Business Services,Distribution,Financial Services,Real Estate, Construction &amp  Infrastructure;Private Equity Firm;;Anthony T. Niosi, Member,Daniel C. Bourla ,  financial analysis,Dr. Nitin Doshi (co-founder),Eric D. Jones, CFA ,Gian Filippo del Bono ,Kenneth O'Connor,Mr.	Anthony	T.	Niosi		(Partner),Samantha Santoro , Partner,Todd M. Cather ;;aniosi@ndccp.com,info@ndccp.com
NEA-IndoUS Ventures-India;500000000;1000000;10000000;India;Ground Floor, Unit-2, Navigator Bldg.International Tech Park, Whitefield Road;560066;Bangalore;;91-80-6616-9500;91-80-6616-9506;neaiuvinfo@neaiuv.com;http://www.neaiuv.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Recapitalization;Business Products,Business Services,Consumer Services,Financial Services,Technology;Private Equity Firm,Private Investor;; 	Kumar Shiralagi (Managing Director), 	Sampath Pudhukottai, Principal,Karthik Nageswaran Controller,Mr.	Vinod	K.	Dham		(Executive Managing Director),Sumit Jain, Associate,Vani Kola ;;karthik@iuvp.com,kumar@iuvp.com,sampath@iuvp.com,sumit@iuvp.com,vani@iuvp.com,vin@neaiuv.com
NEA-IndoUS Ventures-USA;;;;United States of America;3945 Freedom Circle,Suite 1050;95054;Santa Clara;California;408-919-9900;408-919-9912;iuvpinfo@iuvp.com ;http://www.neaiuv.com/;Early Stage,Later Stage;Business Products,Business Services,Consumer Services,Financial Services,Technology;Private Equity Firm,Private Investor;; 	Kumar Shiralagi, Managing Director, 	Vinod K. Dham, Executive Managing Director,	Karthik Nageswaran , Controller,Sampath Pudhukottai, Principal,Sumit Jain,Vani Kola (Managing Director);;karthik@iuvp.com,kumar@iuvp.com,sampath@iuvp.com,sumit@iuvp.com,vani@iuvp.com,vin@iuvp.com
New Asia Partners Ltd.-Shanghai;;;;China/Honk Kong/Macau;1801-03, 18F, One Lu Jia Zui Building	No. 68 Yin Cheng Middle Rd, Pudong;200120;Shanghai;;86-21-5010-6066;86-21-5010-6067;angel.li@newasiapartners.com;http://www.newasiapartners.com/;;;;;Mr.	Dennis		Nguyen		(Co-Chairman);;dennisnguyen@newasiapartners.com
